true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,49,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,537,36,0,68,15,5,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2,0,49,648,2,9,23,8,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
3,0,98,64,217,22,21,13,0,4,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4,0,0,0,0,603,0,1,0,41,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
5,1,47,48,16,32,382,71,0,9,2,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10
6,0,0,5,0,1,22,90,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
7,0,1,3,0,2,23,13,365,33,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
8,0,0,1,0,24,19,11,10,365,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8
9,0,0,0,0,0,1,0,0,0,227,12,0,7,0,1,145,4,54,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,1,7,14
10,0,0,0,0,2,5,4,13,9,47,137,0,3,0,18,229,24,27,1,0,0,1,7,0,0,0,4,0,0,1,0,2,14,0,0,3,0,0,0,0,5,10,94
11,0,0,0,0,0,0,0,0,0,0,0,142,0,1,0,0,0,0,11,2,1,0,5,14,8,79,28,27,51,4,12,7,0,6,0,6,0,3,0,0,13,0,0
12,1,0,0,0,0,0,0,0,0,0,1,45,265,47,0,0,0,0,31,2,5,17,31,6,2,94,9,1,0,0,0,0,0,36,0,10,0,9,61,4,2,5,6
13,0,0,0,0,1,0,0,0,0,0,0,3,0,645,2,0,0,0,1,6,0,9,1,1,0,4,0,0,0,4,0,0,1,7,0,9,0,0,0,0,12,0,14
14,0,0,3,0,5,0,2,0,6,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
15,0,0,0,0,0,0,0,0,0,56,7,0,0,0,0,58,0,33,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,14,14,19
