image_idx,true_label,true_name,pred_label,pred_name
3,33,turn right ahead,9,no passing
4,11,right-of-way at the next intersection,25,road work
5,38,keep right,39,keep left
7,12,priority road,25,road work
12,23,slippery road,22,bumpy road
15,9,no passing,17,no entry
17,20,dangerous curve to the right,23,slippery road
21,33,turn right ahead,37,go straight or left
22,9,no passing,15,no vehicles
25,11,right-of-way at the next intersection,31,wild animals crossing
27,10,no passing for vehicles over 3.5 metric tons,42,end of no passing by vehicles over 3.5 metric tons
28,9,no passing,15,no vehicles
29,11,right-of-way at the next intersection,35,ahead only
32,34,turn left ahead,37,go straight or left
33,23,slippery road,31,wild animals crossing
35,17,no entry,14,stop
37,12,priority road,35,ahead only
38,16,vehicles over 3.5 metric tons prohibited,10,no passing for vehicles over 3.5 metric tons
41,30,beware of ice or snow,18,general caution
42,18,general caution,24,road narrows on the right
43,12,priority road,25,road work
45,25,road work,28,children crossing
47,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
50,25,road work,21,double curve
51,13,yield,19,dangerous curve to the left
52,15,no vehicles,17,no entry
55,35,ahead only,33,turn right ahead
56,5,speed limit 80,1,speed limit 30
58,9,no passing,15,no vehicles
60,38,keep right,39,keep left
61,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
64,15,no vehicles,9,no passing
65,9,no passing,15,no vehicles
66,26,traffic signals,28,children crossing
68,5,speed limit 80,2,speed limit 50
72,30,beware of ice or snow,25,road work
73,34,turn left ahead,33,turn right ahead
75,12,priority road,35,ahead only
78,25,road work,23,slippery road
80,21,double curve,31,wild animals crossing
81,33,turn right ahead,12,priority road
84,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
87,7,speed limit 100,8,speed limit 120
90,3,speed limit 60,2,speed limit 50
94,12,priority road,18,general caution
95,32,end of all speed and passing limits,41,end of no passing
97,38,keep right,37,go straight or left
98,9,no passing,15,no vehicles
103,11,right-of-way at the next intersection,30,beware of ice or snow
108,33,turn right ahead,12,priority road
113,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
114,30,beware of ice or snow,18,general caution
115,3,speed limit 60,2,speed limit 50
117,29,bicycles crossing,25,road work
118,1,speed limit 30,8,speed limit 120
120,13,yield,40,roundabout mandatory
127,30,beware of ice or snow,18,general caution
128,1,speed limit 30,2,speed limit 50
129,6,end of speed limit 80,42,end of no passing by vehicles over 3.5 metric tons
130,36,go straight or right,33,turn right ahead
131,3,speed limit 60,5,speed limit 80
134,11,right-of-way at the next intersection,28,children crossing
135,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
137,40,roundabout mandatory,32,end of all speed and passing limits
139,38,keep right,34,turn left ahead
145,25,road work,32,end of all speed and passing limits
147,41,end of no passing,32,end of all speed and passing limits
151,24,road narrows on the right,19,dangerous curve to the left
152,11,right-of-way at the next intersection,25,road work
157,9,no passing,15,no vehicles
161,16,vehicles over 3.5 metric tons prohibited,10,no passing for vehicles over 3.5 metric tons
163,25,road work,29,bicycles crossing
164,18,general caution,21,double curve
166,13,yield,19,dangerous curve to the left
169,17,no entry,21,double curve
171,38,keep right,39,keep left
176,3,speed limit 60,42,end of no passing by vehicles over 3.5 metric tons
177,40,roundabout mandatory,32,end of all speed and passing limits
182,36,go straight or right,35,ahead only
183,25,road work,24,road narrows on the right
184,20,dangerous curve to the right,24,road narrows on the right
186,18,general caution,35,ahead only
188,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
190,10,no passing for vehicles over 3.5 metric tons,42,end of no passing by vehicles over 3.5 metric tons
193,38,keep right,39,keep left
196,8,speed limit 120,5,speed limit 80
197,38,keep right,13,yield
198,18,general caution,31,wild animals crossing
201,9,no passing,15,no vehicles
203,1,speed limit 30,8,speed limit 120
205,9,no passing,15,no vehicles
207,31,wild animals crossing,22,bumpy road
210,15,no vehicles,17,no entry
211,38,keep right,33,turn right ahead
216,10,no passing for vehicles over 3.5 metric tons,14,stop
225,12,priority road,25,road work
229,36,go straight or right,27,pedestrians
232,33,turn right ahead,41,end of no passing
233,18,general caution,22,bumpy road
235,19,dangerous curve to the left,21,double curve
