class_id,class_name,accuracy
0,speed limit 20,81.67
1,speed limit 30,74.58
2,speed limit 50,86.40
3,speed limit 60,48.22
4,speed limit 70,91.36
5,speed limit 80,60.63
6,end of speed limit 80,60.00
7,speed limit 100,81.11
8,speed limit 120,81.11
9,no passing,47.29
10,no passing for vehicles over 3.5 metric tons,20.76
11,right-of-way at the next intersection,33.81
12,priority road,38.41
13,yield,89.58
14,stop,92.59
15,no vehicles,27.62
16,vehicles over 3.5 metric tons prohibited,65.33
17,no entry,64.44
18,general caution,50.26
19,dangerous curve to the left,6.67
20,dangerous curve to the right,28.89
21,double curve,38.89
22,bumpy road,67.50
23,slippery road,14.00
24,road narrows on the right,58.89
25,road work,69.79
26,traffic signals,75.56
27,pedestrians,75.00
28,children crossing,76.00
29,bicycles crossing,74.44
30,beware of ice or snow,46.67
31,wild animals crossing,69.26
32,end of all speed and passing limits,0.00
33,turn right ahead,48.10
34,turn left ahead,5.83
35,ahead only,63.33
36,go straight or right,3.33
37,go straight or left,33.33
38,keep right,13.48
39,keep left,60.00
40,roundabout mandatory,33.33
41,end of no passing,55.00
42,end of no passing by vehicles over 3.5 metric tons,37.78
