image_idx,true_label,true_name,pred_label,pred_name
2,38,keep right,15,no vehicles
3,33,turn right ahead,27,pedestrians
4,11,right-of-way at the next intersection,26,traffic signals
5,38,keep right,39,keep left
6,18,general caution,19,dangerous curve to the left
10,12,priority road,38,keep right
12,23,slippery road,29,bicycles crossing
15,9,no passing,17,no entry
17,20,dangerous curve to the right,25,road work
19,38,keep right,39,keep left
21,33,turn right ahead,37,go straight or left
22,9,no passing,16,vehicles over 3.5 metric tons prohibited
25,11,right-of-way at the next intersection,27,pedestrians
27,10,no passing for vehicles over 3.5 metric tons,42,end of no passing by vehicles over 3.5 metric tons
28,9,no passing,15,no vehicles
29,11,right-of-way at the next intersection,35,ahead only
31,17,no entry,14,stop
32,34,turn left ahead,37,go straight or left
33,23,slippery road,31,wild animals crossing
35,17,no entry,14,stop
37,12,priority road,30,beware of ice or snow
38,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
41,30,beware of ice or snow,18,general caution
42,18,general caution,24,road narrows on the right
43,12,priority road,39,keep left
45,25,road work,23,slippery road
47,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
50,25,road work,35,ahead only
51,13,yield,37,go straight or left
52,15,no vehicles,42,end of no passing by vehicles over 3.5 metric tons
53,9,no passing,15,no vehicles
55,35,ahead only,33,turn right ahead
56,5,speed limit 80,1,speed limit 30
58,9,no passing,15,no vehicles
59,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
60,38,keep right,39,keep left
61,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
63,9,no passing,15,no vehicles
65,9,no passing,15,no vehicles
66,26,traffic signals,39,keep left
68,5,speed limit 80,2,speed limit 50
70,11,right-of-way at the next intersection,37,go straight or left
72,30,beware of ice or snow,25,road work
73,34,turn left ahead,35,ahead only
75,12,priority road,35,ahead only
76,1,speed limit 30,4,speed limit 70
77,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
78,25,road work,23,slippery road
79,25,road work,31,wild animals crossing
80,21,double curve,31,wild animals crossing
81,33,turn right ahead,37,go straight or left
84,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
85,35,ahead only,33,turn right ahead
86,3,speed limit 60,2,speed limit 50
87,7,speed limit 100,8,speed limit 120
90,3,speed limit 60,2,speed limit 50
94,12,priority road,18,general caution
95,32,end of all speed and passing limits,35,ahead only
97,38,keep right,17,no entry
98,9,no passing,17,no entry
99,33,turn right ahead,37,go straight or left
101,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
102,5,speed limit 80,6,end of speed limit 80
103,11,right-of-way at the next intersection,27,pedestrians
106,35,ahead only,37,go straight or left
108,33,turn right ahead,12,priority road
113,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
114,30,beware of ice or snow,18,general caution
115,3,speed limit 60,2,speed limit 50
117,29,bicycles crossing,25,road work
118,1,speed limit 30,8,speed limit 120
120,13,yield,19,dangerous curve to the left
125,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
126,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
127,30,beware of ice or snow,35,ahead only
128,1,speed limit 30,2,speed limit 50
129,6,end of speed limit 80,42,end of no passing by vehicles over 3.5 metric tons
130,36,go straight or right,33,turn right ahead
131,3,speed limit 60,6,end of speed limit 80
134,11,right-of-way at the next intersection,27,pedestrians
135,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
137,40,roundabout mandatory,32,end of all speed and passing limits
139,38,keep right,39,keep left
143,18,general caution,24,road narrows on the right
145,25,road work,35,ahead only
147,41,end of no passing,42,end of no passing by vehicles over 3.5 metric tons
148,11,right-of-way at the next intersection,24,road narrows on the right
151,24,road narrows on the right,30,beware of ice or snow
152,11,right-of-way at the next intersection,25,road work
155,3,speed limit 60,2,speed limit 50
156,6,end of speed limit 80,2,speed limit 50
157,9,no passing,15,no vehicles
163,25,road work,35,ahead only
164,18,general caution,21,double curve
165,9,no passing,15,no vehicles
166,13,yield,37,go straight or left
169,17,no entry,21,double curve
171,38,keep right,15,no vehicles
176,3,speed limit 60,6,end of speed limit 80
177,40,roundabout mandatory,32,end of all speed and passing limits
