class_id,class_name,accuracy
0,speed limit 20,88.33
1,speed limit 30,76.53
2,speed limit 50,88.93
3,speed limit 60,55.56
4,speed limit 70,90.00
5,speed limit 80,61.59
6,end of speed limit 80,71.33
7,speed limit 100,87.33
8,speed limit 120,79.56
9,no passing,61.25
10,no passing for vehicles over 3.5 metric tons,29.85
11,right-of-way at the next intersection,53.10
12,priority road,67.97
13,yield,92.50
14,stop,92.59
15,no vehicles,34.76
16,vehicles over 3.5 metric tons prohibited,68.00
17,no entry,68.06
18,general caution,57.95
19,dangerous curve to the left,11.67
20,dangerous curve to the right,55.56
21,double curve,50.00
22,bumpy road,70.83
23,slippery road,24.00
24,road narrows on the right,58.89
25,road work,63.33
26,traffic signals,80.56
27,pedestrians,81.67
28,children crossing,75.33
29,bicycles crossing,73.33
30,beware of ice or snow,54.67
31,wild animals crossing,71.48
32,end of all speed and passing limits,38.33
33,turn right ahead,48.57
34,turn left ahead,28.33
35,ahead only,76.92
36,go straight or right,20.00
37,go straight or left,38.33
38,keep right,52.32
39,keep left,38.89
40,roundabout mandatory,38.89
41,end of no passing,50.00
42,end of no passing by vehicles over 3.5 metric tons,37.78
