true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,55,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,553,31,4,31,16,3,5,36,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
2,0,16,680,10,0,22,8,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
3,0,60,65,270,16,17,7,0,2,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0
4,2,0,0,0,602,0,1,2,40,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3
5,3,33,40,59,19,408,35,4,7,2,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
6,0,0,0,1,0,3,117,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,23
7,0,1,3,0,0,18,6,391,18,1,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,2,0,0,2,14,21,9,25,362,1,6,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9,0,0,1,0,0,1,0,0,0,355,14,0,14,0,1,43,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,1,0,1
10,0,0,2,0,6,13,0,34,11,91,226,0,10,0,7,125,40,18,0,0,0,0,5,0,0,0,3,0,0,2,0,1,22,0,0,0,0,0,0,2,9,9,24
11,0,0,0,0,0,0,0,0,0,0,0,259,0,8,0,0,0,0,0,2,1,0,4,26,0,30,13,17,37,4,10,4,0,0,0,1,0,2,0,0,2,0,0
12,0,0,0,0,0,0,0,0,0,0,0,8,598,10,0,0,0,0,0,0,0,0,12,6,0,3,0,0,0,0,0,0,8,10,0,1,2,16,15,0,0,0,1
13,0,0,1,0,1,0,0,0,0,0,0,2,0,672,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,3,0,0,7,5,0,10,1,0,0,0,10,0,3
14,0,0,2,0,3,0,2,5,3,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
15,0,0,0,0,0,0,0,0,0,41,13,0,0,0,0,105,0,24,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,1,0,1,0,0,5,8,4
16,0,0,0,0,0,0,0,0,0,7,18,0,3,0,0,13,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,2,1,1,0,4,2,0,0,1,1,24,0,0,260,1,1,0,2,3,0,0,0,2,0,0,0,0,0,52,0,0,0,0,0,0,0,0,2,1
18,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,239,5,36,1,8,20,9,37,8,2,1,2,0,10,0,0,0,0,0,0,0,0,0,0,6
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,70,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,10,45,0,2,2,2,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,85,11,3,4,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,1,3,5,2,4,52,0,6,0,0,0,2,0,54,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,1,56,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,5,1,1,26,5,324,3,53,34,5,4,4,5,0,0,3,0,1,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,148,3,20,1,2,0,1,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,1,6,121,9,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,1,0,5,64,5,0,0,0,0,2,0,0,0,0,0,0,0
