true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,56,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,568,36,10,21,19,0,8,30,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,12,663,19,11,35,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
3,2,54,64,282,3,25,1,0,10,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,1,0,0,0,630,2,2,2,12,2,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,4,33,48,41,7,457,4,9,10,2,7,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0,0,0,0,0,23,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27
7,0,0,3,1,12,42,7,355,20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
8,2,1,1,2,28,20,2,22,359,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1
9,1,0,0,0,0,1,3,9,2,356,26,0,0,0,3,10,28,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,10
10,10,0,0,1,2,7,4,33,47,70,390,0,0,0,0,45,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,5
11,0,2,0,0,0,0,0,0,0,0,0,265,0,1,0,0,0,0,2,7,12,3,2,6,0,24,7,16,23,6,12,27,1,0,0,0,0,0,0,0,0,4,0
12,0,0,0,0,0,0,0,0,0,0,0,2,603,8,0,1,0,0,0,0,1,0,4,3,8,2,15,2,2,26,1,0,8,0,0,4,0,0,0,0,0,0,0
13,0,0,0,0,1,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,1,0,1,1,5,0,1,1,1,21,0,0,2,0,0,2,0,0,0,11,0,0,1
14,0,1,4,1,5,5,0,5,11,3,0,0,0,1,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,2,0,12,3,0,0,3,1,164,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,8,0,0,0,0,1,6,2
16,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0,14,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
17,0,0,0,1,2,0,0,0,0,3,3,0,0,5,21,2,0,286,0,13,14,0,0,0,0,0,0,0,0,3,0,0,1,0,0,6,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,1,199,7,37,9,0,11,53,18,5,5,6,16,8,0,0,0,0,6,0,0,0,0,0,2,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,63,1,2,0,8,5,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,2,22,39,3,3,0,1,1,0,0,0,0,5,0,0,0,0,2,4,0,2,0,1,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,3,52,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14,0,6,3,14,0,1,71,2,4,1,0,8,1,3,19,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,74,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,2,1,8,10,318,5,32,68,2,0,9,0,0,0,0,0,4,0,0,0,1,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,20,0,2,132,6,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,46,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,22,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,3,1,0,10,61,1,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,8,2,4,3,21,20,0,0,6,71,1,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,9,0,26,15,2,6,3,15,0,0,1,2,3,185,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,4,0,0,0,0,0,0,21
33,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,119,24,2,32,14,2,0,8,2,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,1,5,0,4,0,2,0,0
35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,322,13,23,0,11,9,0,5
36,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,71,36,0,0,3,1,1
37,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,0,0,5,0,0
