image_idx,true_label,true_name,pred_label,pred_name
3,33,turn right ahead,36,go straight or right
8,25,road work,27,pedestrians
9,35,ahead only,39,keep left
19,38,keep right,39,keep left
25,11,right-of-way at the next intersection,27,pedestrians
28,9,no passing,16,vehicles over 3.5 metric tons prohibited
29,11,right-of-way at the next intersection,25,road work
33,23,slippery road,31,wild animals crossing
38,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
39,8,speed limit 120,4,speed limit 70
41,30,beware of ice or snow,23,slippery road
42,18,general caution,24,road narrows on the right
45,25,road work,28,children crossing
48,18,general caution,29,bicycles crossing
50,25,road work,20,dangerous curve to the right
51,13,yield,28,children crossing
56,5,speed limit 80,1,speed limit 30
60,38,keep right,39,keep left
63,9,no passing,7,speed limit 100
66,26,traffic signals,28,children crossing
68,5,speed limit 80,3,speed limit 60
72,30,beware of ice or snow,29,bicycles crossing
73,34,turn left ahead,40,roundabout mandatory
77,10,no passing for vehicles over 3.5 metric tons,9,no passing
78,25,road work,28,children crossing
79,25,road work,31,wild animals crossing
95,32,end of all speed and passing limits,42,end of no passing by vehicles over 3.5 metric tons
97,38,keep right,42,end of no passing by vehicles over 3.5 metric tons
101,10,no passing for vehicles over 3.5 metric tons,8,speed limit 120
113,10,no passing for vehicles over 3.5 metric tons,9,no passing
114,30,beware of ice or snow,20,dangerous curve to the right
116,27,pedestrians,25,road work
118,1,speed limit 30,4,speed limit 70
119,17,no entry,14,stop
122,1,speed limit 30,2,speed limit 50
125,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
126,10,no passing for vehicles over 3.5 metric tons,9,no passing
127,30,beware of ice or snow,21,double curve
132,14,stop,35,ahead only
134,11,right-of-way at the next intersection,30,beware of ice or snow
137,40,roundabout mandatory,42,end of no passing by vehicles over 3.5 metric tons
145,25,road work,1,speed limit 30
147,41,end of no passing,42,end of no passing by vehicles over 3.5 metric tons
148,11,right-of-way at the next intersection,21,double curve
152,11,right-of-way at the next intersection,26,traffic signals
163,25,road work,29,bicycles crossing
164,18,general caution,24,road narrows on the right
169,17,no entry,19,dangerous curve to the left
171,38,keep right,42,end of no passing by vehicles over 3.5 metric tons
175,1,speed limit 30,3,speed limit 60
184,20,dangerous curve to the right,24,road narrows on the right
186,18,general caution,24,road narrows on the right
190,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
191,29,bicycles crossing,28,children crossing
193,38,keep right,34,turn left ahead
196,8,speed limit 120,5,speed limit 80
198,18,general caution,20,dangerous curve to the right
199,28,children crossing,25,road work
201,9,no passing,16,vehicles over 3.5 metric tons prohibited
203,1,speed limit 30,8,speed limit 120
207,31,wild animals crossing,24,road narrows on the right
209,15,no vehicles,9,no passing
210,15,no vehicles,9,no passing
211,38,keep right,39,keep left
214,25,road work,27,pedestrians
216,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
233,18,general caution,29,bicycles crossing
235,19,dangerous curve to the left,20,dangerous curve to the right
237,30,beware of ice or snow,25,road work
240,12,priority road,29,bicycles crossing
248,12,priority road,29,bicycles crossing
250,20,dangerous curve to the right,19,dangerous curve to the left
258,25,road work,26,traffic signals
263,25,road work,28,children crossing
265,12,priority road,32,end of all speed and passing limits
266,5,speed limit 80,7,speed limit 100
269,18,general caution,20,dangerous curve to the right
270,18,general caution,24,road narrows on the right
271,18,general caution,25,road work
275,18,general caution,25,road work
276,34,turn left ahead,38,keep right
278,31,wild animals crossing,20,dangerous curve to the right
280,9,no passing,6,end of speed limit 80
281,35,ahead only,36,go straight or right
282,31,wild animals crossing,21,double curve
283,26,traffic signals,28,children crossing
287,30,beware of ice or snow,25,road work
309,38,keep right,40,roundabout mandatory
310,19,dangerous curve to the left,20,dangerous curve to the right
313,38,keep right,39,keep left
314,1,speed limit 30,8,speed limit 120
323,6,end of speed limit 80,41,end of no passing
325,35,ahead only,39,keep left
331,18,general caution,24,road narrows on the right
332,3,speed limit 60,1,speed limit 30
333,25,road work,28,children crossing
335,6,end of speed limit 80,42,end of no passing by vehicles over 3.5 metric tons
336,7,speed limit 100,5,speed limit 80
339,22,bumpy road,23,slippery road
340,10,no passing for vehicles over 3.5 metric tons,9,no passing
