class_id,class_name,accuracy
0,speed limit 20,93.33
1,speed limit 30,78.89
2,speed limit 50,88.40
3,speed limit 60,62.67
4,speed limit 70,95.45
5,speed limit 80,72.54
6,end of speed limit 80,65.33
7,speed limit 100,78.89
8,speed limit 120,79.78
9,no passing,74.17
10,no passing for vehicles over 3.5 metric tons,59.09
11,right-of-way at the next intersection,63.10
12,priority road,87.39
13,yield,93.19
14,stop,85.56
15,no vehicles,78.10
16,vehicles over 3.5 metric tons prohibited,77.33
17,no entry,79.44
18,general caution,51.03
19,dangerous curve to the left,23.33
20,dangerous curve to the right,70.00
21,double curve,43.33
22,bumpy road,43.33
23,slippery road,47.33
24,road narrows on the right,82.22
25,road work,66.25
26,traffic signals,73.33
27,pedestrians,76.67
28,children crossing,66.67
29,bicycles crossing,67.78
30,beware of ice or snow,47.33
31,wild animals crossing,68.52
32,end of all speed and passing limits,55.00
33,turn right ahead,56.67
34,turn left ahead,89.17
35,ahead only,82.56
36,go straight or right,59.17
37,go straight or left,28.33
38,keep right,65.22
39,keep left,45.56
40,roundabout mandatory,61.11
41,end of no passing,25.00
42,end of no passing by vehicles over 3.5 metric tons,47.78
