true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,580,10,3,2,30,1,7,49,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,27,659,13,0,34,3,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,55,71,273,0,28,4,1,4,6,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4,3,0,0,0,575,1,4,5,55,5,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
5,2,52,24,27,0,478,16,8,5,7,6,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,54,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19
7,0,0,1,0,3,41,8,374,6,3,5,0,1,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,3,4,1,2,6,28,7,26,355,1,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,2
9,0,0,0,0,0,0,0,0,0,293,122,0,0,0,7,15,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,9,19
10,0,0,0,0,0,3,19,18,3,37,398,0,0,0,12,51,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,32
11,0,0,0,0,0,0,0,0,0,5,0,231,0,3,0,0,0,1,3,1,16,5,0,2,4,6,8,28,43,6,42,16,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,583,4,0,0,0,1,0,0,7,0,0,36,18,38,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,3,676,0,0,0,0,0,5,3,0,0,26,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,7,0,0,3,1,11,4,0,0,0,0,0,243,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,24,26,0,0,0,0,120,0,4,0,1,2,0,0,4,0,0,0,0,0,0,1,0,4,0,8,3,10,3,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,16,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
17,0,0,0,1,1,0,0,1,0,19,2,0,0,0,44,0,0,249,0,4,2,0,1,7,1,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,9
18,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,194,2,33,4,4,18,39,23,10,11,4,15,16,12,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,46,0,9,0,9,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,16,7,31,2,2,2,0,0,0,2,0,1,15,0,0,0,3,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,20,3,61,10,1,3,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,3,6,1,3,72,3,10,0,1,8,0,5,26,0,0,0,0,0,0,0,0,0,0,0
