class_id,class_name,accuracy
0,speed limit 20,98.33
1,speed limit 30,80.56
2,speed limit 50,87.87
3,speed limit 60,60.67
4,speed limit 70,87.12
5,speed limit 80,75.87
6,end of speed limit 80,49.33
7,speed limit 100,83.11
8,speed limit 120,78.89
9,no passing,61.04
10,no passing for vehicles over 3.5 metric tons,60.30
11,right-of-way at the next intersection,55.00
12,priority road,84.49
13,yield,93.89
14,stop,90.00
15,no vehicles,57.14
16,vehicles over 3.5 metric tons prohibited,81.33
17,no entry,69.17
18,general caution,49.74
19,dangerous curve to the left,51.67
20,dangerous curve to the right,51.11
21,double curve,34.44
22,bumpy road,50.83
23,slippery road,48.00
24,road narrows on the right,57.78
25,road work,75.42
26,traffic signals,78.89
27,pedestrians,86.67
28,children crossing,83.33
29,bicycles crossing,63.33
30,beware of ice or snow,55.33
31,wild animals crossing,67.04
32,end of all speed and passing limits,61.67
33,turn right ahead,32.38
34,turn left ahead,52.50
35,ahead only,81.03
36,go straight or right,63.33
37,go straight or left,3.33
38,keep right,62.03
39,keep left,24.44
40,roundabout mandatory,71.11
41,end of no passing,35.00
42,end of no passing by vehicles over 3.5 metric tons,65.56
