image_idx,true_label,true_name,pred_label,pred_name
3,33,turn right ahead,34,turn left ahead
4,11,right-of-way at the next intersection,22,bumpy road
8,25,road work,27,pedestrians
9,35,ahead only,36,go straight or right
10,12,priority road,32,end of all speed and passing limits
15,9,no passing,17,no entry
19,38,keep right,39,keep left
25,11,right-of-way at the next intersection,28,children crossing
28,9,no passing,16,vehicles over 3.5 metric tons prohibited
29,11,right-of-way at the next intersection,24,road narrows on the right
32,34,turn left ahead,33,turn right ahead
33,23,slippery road,31,wild animals crossing
37,12,priority road,32,end of all speed and passing limits
38,16,vehicles over 3.5 metric tons prohibited,41,end of no passing
39,8,speed limit 120,4,speed limit 70
41,30,beware of ice or snow,23,slippery road
42,18,general caution,23,slippery road
48,18,general caution,24,road narrows on the right
50,25,road work,20,dangerous curve to the right
53,9,no passing,41,end of no passing
56,5,speed limit 80,1,speed limit 30
63,9,no passing,10,no passing for vehicles over 3.5 metric tons
66,26,traffic signals,25,road work
72,30,beware of ice or snow,24,road narrows on the right
78,25,road work,23,slippery road
79,25,road work,31,wild animals crossing
81,33,turn right ahead,34,turn left ahead
95,32,end of all speed and passing limits,42,end of no passing by vehicles over 3.5 metric tons
99,33,turn right ahead,34,turn left ahead
100,1,speed limit 30,2,speed limit 50
101,10,no passing for vehicles over 3.5 metric tons,17,no entry
103,11,right-of-way at the next intersection,25,road work
106,35,ahead only,36,go straight or right
108,33,turn right ahead,34,turn left ahead
113,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
114,30,beware of ice or snow,20,dangerous curve to the right
115,3,speed limit 60,2,speed limit 50
117,29,bicycles crossing,25,road work
118,1,speed limit 30,4,speed limit 70
119,17,no entry,14,stop
122,1,speed limit 30,2,speed limit 50
126,10,no passing for vehicles over 3.5 metric tons,7,speed limit 100
127,30,beware of ice or snow,25,road work
131,3,speed limit 60,5,speed limit 80
139,38,keep right,33,turn right ahead
142,6,end of speed limit 80,5,speed limit 80
145,25,road work,21,double curve
151,24,road narrows on the right,30,beware of ice or snow
152,11,right-of-way at the next intersection,26,traffic signals
156,6,end of speed limit 80,5,speed limit 80
163,25,road work,28,children crossing
164,18,general caution,24,road narrows on the right
165,9,no passing,10,no passing for vehicles over 3.5 metric tons
169,17,no entry,23,slippery road
171,38,keep right,42,end of no passing by vehicles over 3.5 metric tons
175,1,speed limit 30,2,speed limit 50
183,25,road work,26,traffic signals
184,20,dangerous curve to the right,19,dangerous curve to the left
186,18,general caution,24,road narrows on the right
187,1,speed limit 30,5,speed limit 80
190,10,no passing for vehicles over 3.5 metric tons,42,end of no passing by vehicles over 3.5 metric tons
193,38,keep right,37,go straight or left
196,8,speed limit 120,3,speed limit 60
198,18,general caution,27,pedestrians
201,9,no passing,41,end of no passing
203,1,speed limit 30,0,speed limit 20
209,15,no vehicles,9,no passing
210,15,no vehicles,9,no passing
211,38,keep right,36,go straight or right
216,10,no passing for vehicles over 3.5 metric tons,19,dangerous curve to the left
219,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
229,36,go straight or right,40,roundabout mandatory
232,33,turn right ahead,34,turn left ahead
233,18,general caution,24,road narrows on the right
235,19,dangerous curve to the left,20,dangerous curve to the right
237,30,beware of ice or snow,25,road work
242,20,dangerous curve to the right,19,dangerous curve to the left
250,20,dangerous curve to the right,19,dangerous curve to the left
258,25,road work,26,traffic signals
260,35,ahead only,36,go straight or right
263,25,road work,28,children crossing
265,12,priority road,32,end of all speed and passing limits
266,5,speed limit 80,7,speed limit 100
268,2,speed limit 50,3,speed limit 60
269,18,general caution,20,dangerous curve to the right
270,18,general caution,19,dangerous curve to the left
271,18,general caution,25,road work
273,9,no passing,10,no passing for vehicles over 3.5 metric tons
274,25,road work,24,road narrows on the right
275,18,general caution,25,road work
276,34,turn left ahead,38,keep right
280,9,no passing,32,end of all speed and passing limits
281,35,ahead only,36,go straight or right
283,26,traffic signals,28,children crossing
286,33,turn right ahead,34,turn left ahead
287,30,beware of ice or snow,20,dangerous curve to the right
299,26,traffic signals,23,slippery road
300,12,priority road,32,end of all speed and passing limits
305,3,speed limit 60,6,end of speed limit 80
306,32,end of all speed and passing limits,42,end of no passing by vehicles over 3.5 metric tons
