true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,58,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,559,18,5,18,12,1,4,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,658,42,1,32,0,0,7,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,77,44,290,3,19,3,0,5,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,609,0,1,3,29,5,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,1,38,69,38,7,442,4,10,7,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
6,0,0,1,0,0,12,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
7,0,0,3,1,1,20,4,364,31,1,19,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,3,2,4,2,16,23,2,25,344,3,13,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0
9,0,0,0,0,0,0,0,12,0,342,34,0,0,0,21,28,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4
10,2,0,2,0,1,8,11,21,17,131,328,0,0,4,2,67,27,23,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,4,3
11,0,0,0,0,0,0,0,0,0,0,0,274,6,0,0,0,0,1,5,1,13,1,0,21,8,6,11,6,20,29,3,3,0,0,0,3,0,3,0,0,0,6,0
12,0,0,0,0,0,0,0,0,1,0,0,1,575,1,0,1,0,0,0,0,13,1,0,79,2,0,0,0,0,2,0,0,10,0,0,0,0,0,0,4,0,0,0
13,1,0,0,0,2,0,0,1,0,0,0,8,0,635,0,1,0,0,0,0,41,1,0,12,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,15,0,0
14,0,0,8,1,0,1,1,0,5,1,1,0,0,8,241,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,5,1,16,5,0,0,1,0,144,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,1,0,0,1,3,0
16,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,17,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
17,0,0,0,0,1,0,0,0,0,2,6,0,0,8,22,22,0,275,1,0,8,3,0,2,0,0,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,9,0,0,203,0,44,14,4,13,27,7,11,10,1,12,0,2,1,0,0,6,0,2,0,0,0,1,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,5,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,35,1,4,3,25,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,6,12,28,1,1,0,0,1,1,1,1,1,6,0,0,0,11,0,12,0,1,0,0,0
22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,34,9,62,9,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14,0,7,0,18,0,1,89,0,1,0,0,1,2,1,14,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,65,3,2,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,2,1,7,19,8,325,6,53,29,1,0,14,0,0,0,2,0,2,0,1,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,2,0,1,162,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,46,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,1,12,116,5,0,1,0,0,0,1,0,0,0,0,0,0,0
29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,1,0,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,14,0,2,27,4,5,6,0,3,5,78,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,2,0,29,4,12,25,2,3,0,2,1,1,0,182,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,4,9
33,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,12,0,0,0,2,0,79,11,0,66,18,2,5,2,1,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,96,13,3,2,2,0,2,0,0
