class_id,class_name,accuracy
0,speed limit 20,96.67
1,speed limit 30,77.64
2,speed limit 50,87.73
3,speed limit 60,64.44
4,speed limit 70,92.27
5,speed limit 80,70.16
6,end of speed limit 80,75.33
7,speed limit 100,80.89
8,speed limit 120,76.44
9,no passing,71.25
10,no passing for vehicles over 3.5 metric tons,49.70
11,right-of-way at the next intersection,65.24
12,priority road,83.33
13,yield,88.19
14,stop,89.26
15,no vehicles,68.57
16,vehicles over 3.5 metric tons prohibited,76.00
17,no entry,76.39
18,general caution,52.05
19,dangerous curve to the left,23.33
20,dangerous curve to the right,38.89
21,double curve,31.11
22,bumpy road,51.67
23,slippery road,59.33
24,road narrows on the right,72.22
25,road work,67.71
26,traffic signals,90.00
27,pedestrians,76.67
28,children crossing,77.33
29,bicycles crossing,66.67
30,beware of ice or snow,52.00
31,wild animals crossing,67.41
32,end of all speed and passing limits,76.67
33,turn right ahead,37.62
34,turn left ahead,80.00
35,ahead only,82.31
36,go straight or right,50.00
37,go straight or left,53.33
38,keep right,62.46
39,keep left,51.11
40,roundabout mandatory,85.56
41,end of no passing,30.00
42,end of no passing by vehicles over 3.5 metric tons,47.78
