true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,58,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,596,41,15,18,13,0,0,12,1,1,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,17,652,38,3,22,3,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3,1,82,95,221,4,23,2,3,3,2,8,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,625,1,0,1,18,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
5,7,69,81,43,9,386,1,2,6,6,9,0,1,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
6,0,1,2,4,0,24,89,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,19
7,0,0,2,0,1,31,1,380,21,3,7,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,3,0,7,32,13,1,14,362,2,3,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
9,0,0,0,0,0,4,0,2,0,277,5,0,2,1,18,54,49,56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,7,1,1
10,0,1,1,0,7,1,0,15,8,45,199,0,1,0,5,48,220,37,1,0,0,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,1,1,21,30
11,0,0,0,0,0,0,0,0,0,1,0,163,0,1,0,0,0,0,0,0,5,6,22,53,4,5,112,23,10,1,0,2,0,4,0,0,0,1,0,0,6,1,0
12,0,0,0,0,0,0,0,0,0,46,0,0,580,30,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,3,6,0,0,2,0,0,0,10,0
13,0,0,0,0,0,0,0,0,0,7,0,0,6,657,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,2,1,0,3,4,11
14,0,0,0,0,5,2,0,2,5,0,0,0,0,2,252,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,0,0,0,0,0,0,0,0,0,122,2,0,0,0,0,42,0,12,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,25,0
16,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,19,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,0,0,0,0,2,0,0,0,0,52,4,0,2,6,4,1,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,18,0
18,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,238,4,44,8,27,5,7,8,3,4,2,1,0,19,0,0,0,11,2,2,1,0,0,2,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,16,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,39,27,0,6,3,5,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,13,1,48,6,7,0,0,2,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,9,79,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,97,0,2,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,68,2,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
25,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,40,2,335,1,21,42,3,0,15,0,0,0,0,0,1,0,0,0,0,5
