image_idx,true_label,true_name,pred_label,pred_name
15,9,no passing,14,stop
16,21,double curve,26,traffic signals
19,38,keep right,39,keep left
22,9,no passing,15,no vehicles
25,11,right-of-way at the next intersection,31,wild animals crossing
28,9,no passing,16,vehicles over 3.5 metric tons prohibited
29,11,right-of-way at the next intersection,26,traffic signals
33,23,slippery road,31,wild animals crossing
36,3,speed limit 60,2,speed limit 50
38,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
39,8,speed limit 120,7,speed limit 100
41,30,beware of ice or snow,23,slippery road
48,18,general caution,20,dangerous curve to the right
50,25,road work,42,end of no passing by vehicles over 3.5 metric tons
56,5,speed limit 80,1,speed limit 30
58,9,no passing,13,yield
60,38,keep right,39,keep left
61,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
63,9,no passing,17,no entry
64,15,no vehicles,9,no passing
67,2,speed limit 50,1,speed limit 30
68,5,speed limit 80,2,speed limit 50
72,30,beware of ice or snow,25,road work
73,34,turn left ahead,9,no passing
79,25,road work,31,wild animals crossing
80,21,double curve,23,slippery road
84,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
87,7,speed limit 100,8,speed limit 120
95,32,end of all speed and passing limits,41,end of no passing
101,10,no passing for vehicles over 3.5 metric tons,4,speed limit 70
102,5,speed limit 80,3,speed limit 60
103,11,right-of-way at the next intersection,26,traffic signals
106,35,ahead only,36,go straight or right
113,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
114,30,beware of ice or snow,22,bumpy road
115,3,speed limit 60,2,speed limit 50
116,27,pedestrians,25,road work
117,29,bicycles crossing,22,bumpy road
118,1,speed limit 30,4,speed limit 70
119,17,no entry,9,no passing
122,1,speed limit 30,3,speed limit 60
125,10,no passing for vehicles over 3.5 metric tons,9,no passing
127,30,beware of ice or snow,25,road work
129,6,end of speed limit 80,42,end of no passing by vehicles over 3.5 metric tons
130,36,go straight or right,35,ahead only
131,3,speed limit 60,5,speed limit 80
132,14,stop,17,no entry
134,11,right-of-way at the next intersection,26,traffic signals
139,38,keep right,34,turn left ahead
145,25,road work,29,bicycles crossing
148,11,right-of-way at the next intersection,33,turn right ahead
151,24,road narrows on the right,21,double curve
152,11,right-of-way at the next intersection,26,traffic signals
157,9,no passing,16,vehicles over 3.5 metric tons prohibited
163,25,road work,24,road narrows on the right
164,18,general caution,21,double curve
169,17,no entry,41,end of no passing
171,38,keep right,9,no passing
175,1,speed limit 30,5,speed limit 80
176,3,speed limit 60,15,no vehicles
183,25,road work,23,slippery road
184,20,dangerous curve to the right,24,road narrows on the right
186,18,general caution,20,dangerous curve to the right
190,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
193,38,keep right,37,go straight or left
196,8,speed limit 120,5,speed limit 80
197,38,keep right,13,yield
198,18,general caution,31,wild animals crossing
199,28,children crossing,30,beware of ice or snow
201,9,no passing,15,no vehicles
204,17,no entry,9,no passing
207,31,wild animals crossing,22,bumpy road
209,15,no vehicles,9,no passing
210,15,no vehicles,17,no entry
211,38,keep right,35,ahead only
213,5,speed limit 80,2,speed limit 50
216,10,no passing for vehicles over 3.5 metric tons,22,bumpy road
219,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
229,36,go straight or right,41,end of no passing
232,33,turn right ahead,9,no passing
233,18,general caution,20,dangerous curve to the right
235,19,dangerous curve to the left,21,double curve
237,30,beware of ice or snow,29,bicycles crossing
244,10,no passing for vehicles over 3.5 metric tons,8,speed limit 120
245,40,roundabout mandatory,39,keep left
249,38,keep right,9,no passing
258,25,road work,23,slippery road
259,15,no vehicles,9,no passing
263,25,road work,28,children crossing
265,12,priority road,32,end of all speed and passing limits
266,5,speed limit 80,10,no passing for vehicles over 3.5 metric tons
269,18,general caution,20,dangerous curve to the right
271,18,general caution,20,dangerous curve to the right
275,18,general caution,20,dangerous curve to the right
282,31,wild animals crossing,19,dangerous curve to the left
283,26,traffic signals,12,priority road
287,30,beware of ice or snow,24,road narrows on the right
288,17,no entry,9,no passing
294,5,speed limit 80,0,speed limit 20
301,5,speed limit 80,2,speed limit 50
