class_id,class_name,accuracy
0,speed limit 20,96.67
1,speed limit 30,82.78
2,speed limit 50,86.93
3,speed limit 60,49.11
4,speed limit 70,94.70
5,speed limit 80,61.27
6,end of speed limit 80,59.33
7,speed limit 100,84.44
8,speed limit 120,80.44
9,no passing,57.71
10,no passing for vehicles over 3.5 metric tons,30.15
11,right-of-way at the next intersection,38.81
12,priority road,84.06
13,yield,91.25
14,stop,93.33
15,no vehicles,20.00
16,vehicles over 3.5 metric tons prohibited,78.00
17,no entry,69.17
18,general caution,61.03
19,dangerous curve to the left,46.67
20,dangerous curve to the right,30.00
21,double curve,53.33
22,bumpy road,65.83
23,slippery road,64.67
24,road narrows on the right,75.56
25,road work,69.79
26,traffic signals,83.33
27,pedestrians,85.00
28,children crossing,94.00
29,bicycles crossing,80.00
30,beware of ice or snow,48.67
31,wild animals crossing,78.15
32,end of all speed and passing limits,8.33
33,turn right ahead,64.76
34,turn left ahead,52.50
35,ahead only,73.85
36,go straight or right,36.67
37,go straight or left,21.67
38,keep right,45.80
39,keep left,51.11
40,roundabout mandatory,20.00
41,end of no passing,46.67
42,end of no passing by vehicles over 3.5 metric tons,43.33
