true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,46,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,389,189,0,42,9,0,5,18,0,3,0,0,0,0,6,0,9,0,7,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1
2,0,14,678,2,3,7,3,1,3,2,1,0,1,0,0,1,0,2,0,6,1,0,0,0,0,0,16,0,1,0,0,0,0,0,0,5,0,2,0,0,1,0,0
3,1,29,267,62,19,6,0,2,1,0,2,0,1,0,0,20,4,5,0,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,12,0,0,0,0,6,0,3
4,0,0,3,0,587,1,0,5,5,1,4,0,0,0,0,2,0,8,0,5,2,0,0,0,0,0,18,1,0,0,0,0,0,0,0,7,0,7,0,0,2,1,1
5,2,40,222,1,9,228,3,3,0,5,11,0,1,0,1,12,0,9,1,7,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,5
6,0,0,28,5,0,23,0,0,0,12,0,0,0,0,0,3,0,0,2,8,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,38,0,18,0,0,0,9,0
7,0,0,3,1,0,13,0,334,12,2,2,0,0,0,2,2,2,9,2,9,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,4
8,2,0,6,0,12,0,0,38,268,10,10,0,1,1,0,15,2,15,5,7,1,0,0,0,0,0,35,0,0,0,0,0,0,1,1,9,0,10,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,3,5,0,3,0,2,233,12,115,4,0,1,0,0,0,0,0,67,0,9,0,0,0,0,1,0,2,0,0,0,0,21,0,2
10,0,0,1,0,0,0,0,6,0,20,9,0,4,0,19,254,62,75,18,40,0,0,0,0,0,0,114,0,1,0,0,1,0,1,0,18,0,3,0,0,5,1,8
11,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,17,62,2,63,0,0,10,0,0,30,11,166,0,13,0,0,15,0,0,0,3,0,4,21,0,0
12,4,0,0,0,0,0,0,1,0,2,1,0,18,12,0,0,0,17,162,19,17,3,0,0,0,0,185,4,1,0,2,1,0,42,0,30,0,61,50,39,16,1,2
13,0,0,0,0,0,0,0,0,0,0,14,0,0,45,10,8,18,41,53,125,104,0,0,0,0,0,8,5,7,14,11,0,0,43,0,22,0,68,2,30,89,0,3
14,0,0,7,0,0,0,0,0,1,0,0,0,0,0,251,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,9,7,0,1,0,0,12,0,54,0,33,12,0,0,0,0,0,23,1,0,0,0,0,1,0,0,2,0,32,0,0,23,0,0
16,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,41,61,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,145,8,8,1,2,0,0,0,0,129,16,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,3,147,7,99,0,0,20,2,0,9,7,20,0,4,0,0,0,0,0,0,15,7,3,13,0,2
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,24,0,0,11,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,2,36,0,0,19,1,0,2,0,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,24,26,0,0,8,0,0,12,0,3,0,0,3,0,2,0,0,0,1,0,0,1,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,19,6,12,0,7,53,1,0,3,1,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0
23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,20,0,22,0,17,0,0,38,0,0,0,2,32,3,1,9,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,7,0,45,0,0,3,0,0,0,1,7,0,19,0,0,1,0,0,0,0,0,0,1,0,0
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,30,0,0,44,0,22,5,38,298,0,0,0,0,0,0,6,0,4,0,0,5,0,1
26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,108,0,57,0,0,0,0,0,0,0,0,0,0,0,1,0,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,0,0,2,0,0,2,1,124,10,0,0,0,0,0,0,0,0,0,1,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,3,0,0,0,0,1,0,0,1,0,20,48,0,0,0,0,0,0,0,0,0,0,10,0,0
30,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,73,0,5,0,0,14,0,0,0,0,14,0,34,0,0,0,0,1,0,1,0,2,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,55,0,6,0,0,118,0,0,6,1,50,0,1,26,0,0,0,3,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,17,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,9
33,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,1,5,26,2,0,0,0,0,0,4,3,1,0,0,0,0,112,0,1,0,26,2,1,6,0,0
34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,43,4,0,0,0,0,0,2,0,0,0,0,0,0,41,0,1,0,20,0,0,7,0,0
35,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,15,12,0,0,0,0,0,20,2,5,0,0,0,0,261,0,2,0,54,1,5,6,0,1
36,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,0,0,9,0,1,1,0,0
