image_idx,true_label,true_name,pred_label,pred_name
1,1,speed limit 30,2,speed limit 50
2,38,keep right,15,no vehicles
3,33,turn right ahead,27,pedestrians
4,11,right-of-way at the next intersection,28,children crossing
5,38,keep right,39,keep left
6,18,general caution,20,dangerous curve to the right
8,25,road work,28,children crossing
9,35,ahead only,28,children crossing
10,12,priority road,17,no entry
12,23,slippery road,15,no vehicles
15,9,no passing,26,traffic signals
16,21,double curve,23,slippery road
17,20,dangerous curve to the right,28,children crossing
18,27,pedestrians,28,children crossing
19,38,keep right,17,no entry
22,9,no passing,16,vehicles over 3.5 metric tons prohibited
23,3,speed limit 60,2,speed limit 50
25,11,right-of-way at the next intersection,26,traffic signals
26,13,yield,17,no entry
27,10,no passing for vehicles over 3.5 metric tons,26,traffic signals
28,9,no passing,15,no vehicles
29,11,right-of-way at the next intersection,17,no entry
32,34,turn left ahead,37,go straight or left
33,23,slippery road,31,wild animals crossing
35,17,no entry,26,traffic signals
36,3,speed limit 60,2,speed limit 50
37,12,priority road,18,general caution
38,16,vehicles over 3.5 metric tons prohibited,10,no passing for vehicles over 3.5 metric tons
39,8,speed limit 120,10,no passing for vehicles over 3.5 metric tons
41,30,beware of ice or snow,12,priority road
42,18,general caution,20,dangerous curve to the right
43,12,priority road,26,traffic signals
44,24,road narrows on the right,12,priority road
45,25,road work,23,slippery road
46,3,speed limit 60,2,speed limit 50
47,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
50,25,road work,35,ahead only
51,13,yield,37,go straight or left
52,15,no vehicles,32,end of all speed and passing limits
53,9,no passing,15,no vehicles
54,13,yield,30,beware of ice or snow
55,35,ahead only,37,go straight or left
56,5,speed limit 80,1,speed limit 30
58,9,no passing,40,roundabout mandatory
59,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
60,38,keep right,39,keep left
61,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
63,9,no passing,26,traffic signals
64,15,no vehicles,12,priority road
65,9,no passing,15,no vehicles
66,26,traffic signals,28,children crossing
68,5,speed limit 80,2,speed limit 50
70,11,right-of-way at the next intersection,20,dangerous curve to the right
71,25,road work,28,children crossing
72,30,beware of ice or snow,20,dangerous curve to the right
73,34,turn left ahead,19,dangerous curve to the left
75,12,priority road,35,ahead only
77,10,no passing for vehicles over 3.5 metric tons,14,stop
78,25,road work,23,slippery road
79,25,road work,20,dangerous curve to the right
80,21,double curve,20,dangerous curve to the right
81,33,turn right ahead,37,go straight or left
82,25,road work,28,children crossing
84,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
85,35,ahead only,33,turn right ahead
86,3,speed limit 60,2,speed limit 50
87,7,speed limit 100,8,speed limit 120
88,22,bumpy road,20,dangerous curve to the right
89,13,yield,19,dangerous curve to the left
90,3,speed limit 60,2,speed limit 50
94,12,priority road,0,speed limit 20
95,32,end of all speed and passing limits,26,traffic signals
96,3,speed limit 60,2,speed limit 50
97,38,keep right,19,dangerous curve to the left
98,9,no passing,17,no entry
99,33,turn right ahead,37,go straight or left
100,1,speed limit 30,0,speed limit 20
101,10,no passing for vehicles over 3.5 metric tons,17,no entry
102,5,speed limit 80,2,speed limit 50
103,11,right-of-way at the next intersection,28,children crossing
106,35,ahead only,33,turn right ahead
107,25,road work,28,children crossing
108,33,turn right ahead,20,dangerous curve to the right
109,4,speed limit 70,2,speed limit 50
112,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
113,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
114,30,beware of ice or snow,18,general caution
115,3,speed limit 60,2,speed limit 50
116,27,pedestrians,28,children crossing
117,29,bicycles crossing,40,roundabout mandatory
118,1,speed limit 30,4,speed limit 70
119,17,no entry,26,traffic signals
120,13,yield,40,roundabout mandatory
122,1,speed limit 30,2,speed limit 50
125,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
126,10,no passing for vehicles over 3.5 metric tons,26,traffic signals
127,30,beware of ice or snow,18,general caution
128,1,speed limit 30,2,speed limit 50
129,6,end of speed limit 80,9,no passing
130,36,go straight or right,33,turn right ahead
