true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,58,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,549,46,8,21,18,0,10,33,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,684,13,8,31,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3,1,34,73,286,3,30,2,1,8,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
4,1,0,0,1,626,1,1,3,14,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
5,3,28,53,59,3,443,5,9,10,2,7,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,1,0,17,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
7,0,0,2,2,12,36,6,357,18,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
8,4,1,1,2,21,22,0,27,350,2,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4
9,0,0,0,0,0,1,2,2,0,409,19,0,0,0,2,7,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12
10,6,0,0,3,2,9,3,24,15,97,410,0,0,0,1,34,16,13,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,20
11,0,1,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,2,10,14,1,0,19,1,14,7,20,9,2,7,27,1,0,0,0,0,0,0,0,0,2,0
12,0,0,0,0,0,0,0,0,0,0,0,3,615,4,0,0,0,0,0,0,1,0,8,4,7,0,9,2,0,20,0,0,4,0,0,11,0,1,0,1,0,0,0
13,0,0,0,0,1,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,1,0,0,5,1,0,1,0,1,23,0,0,2,0,0,4,0,1,0,8,0,0,1
14,0,0,10,1,7,2,0,2,8,3,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,4,0,15,3,0,0,3,0,168,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,4,0,0,0,0,0,1,3
16,0,0,0,0,0,1,0,0,0,3,7,0,0,0,0,12,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
17,0,0,0,1,3,0,0,0,0,8,0,0,0,6,18,1,0,294,0,6,5,0,0,0,0,0,0,0,0,5,0,0,6,0,0,5,0,0,0,0,0,0,2
18,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,192,7,34,6,4,20,36,12,5,9,8,27,4,1,0,0,0,12,0,0,0,0,0,1,4
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,6,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,10,53,0,2,0,12,3,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,5,32,3,1,1,1,1,1,0,0,0,3,3,0,0,0,1,12,0,3,0,2,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,2,60,3,2,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
23,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,21,0,1,3,16,1,0,75,1,5,0,0,4,2,1,13,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,73,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,6,18,8,320,6,27,67,0,0,8,1,0,0,0,0,10,0,0,0,1,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,2,135,6,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,10,111,4,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,1,2,0,8,64,1,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,4,5,2,20,19,0,0,8,70,2,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,43,9,3,7,0,14,0,0,1,4,0,183,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,7,0,0,0,0,0,0,19
33,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,144,18,2,20,11,2,0,3,1,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,7,1,0,1,0,0,0,0
35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,328,11,37,0,1,5,0,3
36,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,74,35,0,0,2,0,1
37,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,43,0,0,3,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,7,1,0,0,0,0,0,4,0,0,0,0,11,0,20,0,0,25,463,85,6,6,49
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,29,9,30,0,2,9
40,1,0,0,1,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1,0,1,4,0,60,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,16,39
42,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,0,26,52
