class_id,class_name,accuracy
0,speed limit 20,96.67
1,speed limit 30,76.25
2,speed limit 50,91.20
3,speed limit 60,63.56
4,speed limit 70,94.85
5,speed limit 80,70.32
6,end of speed limit 80,72.67
7,speed limit 100,79.33
8,speed limit 120,77.78
9,no passing,85.21
10,no passing for vehicles over 3.5 metric tons,62.12
11,right-of-way at the next intersection,67.38
12,priority road,89.13
13,yield,93.19
14,stop,87.04
15,no vehicles,80.00
16,vehicles over 3.5 metric tons prohibited,74.67
17,no entry,81.67
18,general caution,49.23
19,dangerous curve to the left,31.67
20,dangerous curve to the right,58.89
21,double curve,35.56
22,bumpy road,50.00
23,slippery road,50.00
24,road narrows on the right,81.11
25,road work,66.67
26,traffic signals,75.00
27,pedestrians,78.33
28,children crossing,74.00
29,bicycles crossing,71.11
30,beware of ice or snow,46.67
31,wild animals crossing,67.78
32,end of all speed and passing limits,55.00
33,turn right ahead,68.57
34,turn left ahead,91.67
35,ahead only,84.10
36,go straight or right,61.67
37,go straight or left,71.67
38,keep right,67.10
39,keep left,33.33
40,roundabout mandatory,66.67
41,end of no passing,26.67
42,end of no passing by vehicles over 3.5 metric tons,57.78
