true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,58,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,589,10,8,11,17,1,4,50,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,634,66,0,33,0,0,6,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,90,34,289,2,17,3,0,4,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
4,2,0,0,0,613,0,1,2,27,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,0,48,63,52,2,427,8,10,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1
6,0,0,2,1,0,4,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26
7,0,0,3,1,2,29,5,364,29,2,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,2,2,3,2,14,26,2,27,347,3,8,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,1,1
9,0,0,0,0,0,0,0,9,0,391,14,0,0,0,8,14,8,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,11
10,0,0,1,0,1,9,10,28,11,104,328,0,0,12,2,54,46,22,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,1,5,1,1,15
11,0,0,0,0,0,0,0,0,0,3,0,283,1,0,0,0,0,1,4,6,24,1,0,6,1,13,11,11,17,15,5,7,1,0,0,8,0,1,0,0,0,1,0
12,2,0,0,0,0,1,0,0,1,0,0,3,597,4,0,1,0,0,0,0,15,0,0,34,6,4,0,3,0,1,0,0,11,0,0,1,0,1,0,5,0,0,0
13,1,0,0,0,4,0,0,0,0,0,0,0,0,673,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,12,0,1
14,0,0,13,1,0,2,0,0,5,1,1,0,0,3,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15,0,0,0,0,0,0,0,6,1,16,4,0,0,3,0,125,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,10,0,1,1,0,4,2,1
16,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,10,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1
17,0,0,0,0,2,0,0,4,0,1,4,0,0,20,18,14,0,265,1,0,6,0,0,3,0,0,3,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,198,10,38,4,2,13,24,14,5,9,1,27,0,2,1,0,0,12,0,2,0,0,0,0,2
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59,0,1,1,18,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,18,7,34,0,0,0,1,1,1,1,1,0,4,0,0,0,6,0,8,0,1,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,25,6,71,2,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,14,0,6,3,18,0,1,83,0,1,0,0,2,1,0,18,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,3,11,0,2,0,0,0,0,0,0,1,0,0,0,63,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,3,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,3,9,1,1,0,14,6,340,6,52,24,0,0,10,0,0,0,2,0,2,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,1,2,157,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,48,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,1,13,116,2,0,0,0,0,0,1,0,1,0,0,0,0,0
29,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,1,0,9,61,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,6,0,13,1,2,16,3,11,5,0,3,5,78,1,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,9,2,27,3,10,15,0,15,0,1,1,0,0,177,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,2,8
