image_idx,true_label,true_name,pred_label,pred_name
9,35,ahead only,40,roundabout mandatory
17,20,dangerous curve to the right,31,wild animals crossing
25,11,right-of-way at the next intersection,25,road work
29,11,right-of-way at the next intersection,25,road work
33,23,slippery road,31,wild animals crossing
41,30,beware of ice or snow,26,traffic signals
48,18,general caution,11,right-of-way at the next intersection
50,25,road work,38,keep right
56,5,speed limit 80,1,speed limit 30
59,16,vehicles over 3.5 metric tons prohibited,10,no passing for vehicles over 3.5 metric tons
63,9,no passing,10,no passing for vehicles over 3.5 metric tons
67,2,speed limit 50,3,speed limit 60
72,30,beware of ice or snow,26,traffic signals
73,34,turn left ahead,38,keep right
76,1,speed limit 30,5,speed limit 80
79,25,road work,11,right-of-way at the next intersection
81,33,turn right ahead,34,turn left ahead
87,7,speed limit 100,5,speed limit 80
95,32,end of all speed and passing limits,38,keep right
99,33,turn right ahead,34,turn left ahead
109,4,speed limit 70,5,speed limit 80
112,16,vehicles over 3.5 metric tons prohibited,10,no passing for vehicles over 3.5 metric tons
114,30,beware of ice or snow,20,dangerous curve to the right
115,3,speed limit 60,1,speed limit 30
117,29,bicycles crossing,18,general caution
118,1,speed limit 30,8,speed limit 120
122,1,speed limit 30,2,speed limit 50
127,30,beware of ice or snow,20,dangerous curve to the right
131,3,speed limit 60,38,keep right
132,14,stop,7,speed limit 100
143,18,general caution,25,road work
147,41,end of no passing,32,end of all speed and passing limits
163,25,road work,20,dangerous curve to the right
164,18,general caution,31,wild animals crossing
168,29,bicycles crossing,26,traffic signals
176,3,speed limit 60,5,speed limit 80
184,20,dangerous curve to the right,21,double curve
186,18,general caution,20,dangerous curve to the right
196,8,speed limit 120,5,speed limit 80
198,18,general caution,11,right-of-way at the next intersection
199,28,children crossing,25,road work
209,15,no vehicles,10,no passing for vehicles over 3.5 metric tons
229,36,go straight or right,33,turn right ahead
232,33,turn right ahead,34,turn left ahead
233,18,general caution,13,yield
235,19,dangerous curve to the left,20,dangerous curve to the right
237,30,beware of ice or snow,25,road work
242,20,dangerous curve to the right,21,double curve
243,0,speed limit 20,8,speed limit 120
252,0,speed limit 20,8,speed limit 120
263,25,road work,23,slippery road
265,12,priority road,32,end of all speed and passing limits
268,2,speed limit 50,3,speed limit 60
270,18,general caution,25,road work
273,9,no passing,10,no passing for vehicles over 3.5 metric tons
275,18,general caution,25,road work
281,35,ahead only,38,keep right
287,30,beware of ice or snow,25,road work
304,4,speed limit 70,2,speed limit 50
305,3,speed limit 60,15,no vehicles
308,7,speed limit 100,2,speed limit 50
310,19,dangerous curve to the left,31,wild animals crossing
314,1,speed limit 30,4,speed limit 70
315,42,end of no passing by vehicles over 3.5 metric tons,6,end of speed limit 80
325,35,ahead only,40,roundabout mandatory
328,8,speed limit 120,6,end of speed limit 80
332,3,speed limit 60,5,speed limit 80
335,6,end of speed limit 80,38,keep right
336,7,speed limit 100,10,no passing for vehicles over 3.5 metric tons
339,22,bumpy road,11,right-of-way at the next intersection
341,29,bicycles crossing,23,slippery road
349,28,children crossing,25,road work
355,40,roundabout mandatory,34,turn left ahead
356,35,ahead only,34,turn left ahead
363,39,keep left,38,keep right
367,38,keep right,13,yield
368,19,dangerous curve to the left,31,wild animals crossing
371,18,general caution,31,wild animals crossing
372,3,speed limit 60,5,speed limit 80
376,41,end of no passing,42,end of no passing by vehicles over 3.5 metric tons
391,33,turn right ahead,38,keep right
392,28,children crossing,25,road work
394,1,speed limit 30,10,no passing for vehicles over 3.5 metric tons
405,36,go straight or right,33,turn right ahead
406,8,speed limit 120,7,speed limit 100
418,9,no passing,10,no passing for vehicles over 3.5 metric tons
421,4,speed limit 70,2,speed limit 50
422,19,dangerous curve to the left,31,wild animals crossing
427,20,dangerous curve to the right,22,bumpy road
430,11,right-of-way at the next intersection,25,road work
432,34,turn left ahead,35,ahead only
436,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
443,30,beware of ice or snow,18,general caution
446,31,wild animals crossing,25,road work
459,6,end of speed limit 80,10,no passing for vehicles over 3.5 metric tons
492,4,speed limit 70,35,ahead only
493,3,speed limit 60,5,speed limit 80
496,30,beware of ice or snow,26,traffic signals
501,30,beware of ice or snow,26,traffic signals
513,22,bumpy road,20,dangerous curve to the right
