true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,52,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,500,75,3,17,5,4,17,27,4,5,0,0,1,0,16,2,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2,0,27,530,135,4,11,17,2,7,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3,5,35,88,210,7,7,22,6,4,9,10,0,2,0,0,28,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,0,3,15,0,540,1,6,11,20,5,0,0,1,4,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,6,1,1,0,0,0,1,5
5,0,38,115,99,6,234,53,19,14,4,4,0,3,0,0,15,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
6,0,0,0,0,0,0,91,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,1,46
7,0,0,0,0,0,3,5,333,52,1,0,0,0,1,0,32,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,4
8,1,0,1,1,7,8,25,27,305,2,0,0,0,0,0,41,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7
9,0,0,0,0,0,0,0,0,0,366,51,0,0,0,0,20,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,5
10,0,0,0,0,0,1,18,5,1,40,258,0,0,0,0,90,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,12,94
11,0,0,0,0,0,0,0,0,0,0,0,118,1,4,0,0,0,0,0,1,20,1,7,46,122,43,2,6,11,7,22,1,0,0,0,0,7,0,0,0,1,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,631,23,0,1,1,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,7
13,0,0,0,0,0,0,0,0,0,0,0,1,16,635,0,1,0,0,11,0,0,0,0,14,0,3,0,1,0,8,17,0,2,0,0,3,1,0,0,0,0,1,6
14,0,0,1,0,0,0,1,3,5,0,0,0,0,5,237,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,183,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,2
16,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
17,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,3,0,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,6,13
18,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,140,5,31,8,23,30,53,39,19,8,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,17,7,18,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,2,35,11,12,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,66,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,19,0,6,100,1,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,56,1,3,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,15,0,3,84,42,238,3,53,17,1,6,3,0,0,0,0,0,4,0,0,0,0,5
26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,23,1,4,129,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,4,32,7,1,33,58,7,0,3,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,12,0,18,0,0,6,47,2,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,15,1,5,57,0,0,4,1,6,0,50,2,0,0,0,0,0,0,0,0,0,0,2
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,6,42,11,11,10,7,7,1,0,1,0,3,161,0,0,0,0,0,0,0,0,0,1,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,3,3
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,43,0,16,33,10,2,14,0,3
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16,0,18,8,0,6,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,240,81,24,5,0,4,17,1
36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,19,37,32,1,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,30,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,44,10,3,5,441,86,2,10,34
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,20,46,1,16,0
40,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,76,0,0
41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,30,15
42,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,15,48
