image_idx,true_label,true_name,pred_label,pred_name
33,23,slippery road,31,wild animals crossing
50,25,road work,37,go straight or left
55,35,ahead only,33,turn right ahead
58,9,no passing,10,no passing for vehicles over 3.5 metric tons
60,38,keep right,39,keep left
66,26,traffic signals,24,road narrows on the right
68,5,speed limit 80,3,speed limit 60
72,30,beware of ice or snow,25,road work
76,1,speed limit 30,4,speed limit 70
78,25,road work,31,wild animals crossing
79,25,road work,31,wild animals crossing
81,33,turn right ahead,34,turn left ahead
87,7,speed limit 100,8,speed limit 120
95,32,end of all speed and passing limits,42,end of no passing by vehicles over 3.5 metric tons
99,33,turn right ahead,34,turn left ahead
102,5,speed limit 80,2,speed limit 50
108,33,turn right ahead,40,roundabout mandatory
109,4,speed limit 70,5,speed limit 80
113,10,no passing for vehicles over 3.5 metric tons,7,speed limit 100
114,30,beware of ice or snow,23,slippery road
117,29,bicycles crossing,18,general caution
118,1,speed limit 30,8,speed limit 120
122,1,speed limit 30,2,speed limit 50
127,30,beware of ice or snow,23,slippery road
129,6,end of speed limit 80,42,end of no passing by vehicles over 3.5 metric tons
135,10,no passing for vehicles over 3.5 metric tons,5,speed limit 80
139,38,keep right,34,turn left ahead
145,25,road work,0,speed limit 20
151,24,road narrows on the right,19,dangerous curve to the left
157,9,no passing,15,no vehicles
163,25,road work,26,traffic signals
164,18,general caution,19,dangerous curve to the left
169,17,no entry,32,end of all speed and passing limits
175,1,speed limit 30,2,speed limit 50
183,25,road work,23,slippery road
196,8,speed limit 120,5,speed limit 80
197,38,keep right,13,yield
198,18,general caution,31,wild animals crossing
199,28,children crossing,31,wild animals crossing
207,31,wild animals crossing,26,traffic signals
211,38,keep right,33,turn right ahead
216,10,no passing for vehicles over 3.5 metric tons,42,end of no passing by vehicles over 3.5 metric tons
229,36,go straight or right,37,go straight or left
237,30,beware of ice or snow,12,priority road
244,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
246,5,speed limit 80,3,speed limit 60
252,0,speed limit 20,4,speed limit 70
254,34,turn left ahead,33,turn right ahead
256,35,ahead only,34,turn left ahead
258,25,road work,23,slippery road
263,25,road work,28,children crossing
265,12,priority road,41,end of no passing
266,5,speed limit 80,7,speed limit 100
269,18,general caution,19,dangerous curve to the left
276,34,turn left ahead,37,go straight or left
282,31,wild animals crossing,19,dangerous curve to the left
283,26,traffic signals,11,right-of-way at the next intersection
286,33,turn right ahead,34,turn left ahead
287,30,beware of ice or snow,25,road work
305,3,speed limit 60,2,speed limit 50
308,7,speed limit 100,5,speed limit 80
309,38,keep right,11,right-of-way at the next intersection
314,1,speed limit 30,8,speed limit 120
317,40,roundabout mandatory,41,end of no passing
323,6,end of speed limit 80,42,end of no passing by vehicles over 3.5 metric tons
325,35,ahead only,41,end of no passing
328,8,speed limit 120,15,no vehicles
331,18,general caution,27,pedestrians
335,6,end of speed limit 80,41,end of no passing
336,7,speed limit 100,3,speed limit 60
339,22,bumpy road,23,slippery road
342,9,no passing,16,vehicles over 3.5 metric tons prohibited
349,28,children crossing,25,road work
355,40,roundabout mandatory,32,end of all speed and passing limits
356,35,ahead only,34,turn left ahead
358,38,keep right,15,no vehicles
361,38,keep right,37,go straight or left
363,39,keep left,41,end of no passing
367,38,keep right,13,yield
370,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
371,18,general caution,19,dangerous curve to the left
372,3,speed limit 60,6,end of speed limit 80
376,41,end of no passing,42,end of no passing by vehicles over 3.5 metric tons
389,9,no passing,16,vehicles over 3.5 metric tons prohibited
394,1,speed limit 30,4,speed limit 70
395,5,speed limit 80,2,speed limit 50
402,10,no passing for vehicles over 3.5 metric tons,2,speed limit 50
416,10,no passing for vehicles over 3.5 metric tons,39,keep left
418,9,no passing,2,speed limit 50
424,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
428,38,keep right,40,roundabout mandatory
430,11,right-of-way at the next intersection,30,beware of ice or snow
436,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
438,8,speed limit 120,7,speed limit 100
443,30,beware of ice or snow,11,right-of-way at the next intersection
448,38,keep right,39,keep left
449,8,speed limit 120,4,speed limit 70
451,10,no passing for vehicles over 3.5 metric tons,9,no passing
454,1,speed limit 30,0,speed limit 20
459,6,end of speed limit 80,15,no vehicles
