class_id,class_name,accuracy
0,speed limit 20,100.00
1,speed limit 30,99.72
2,speed limit 50,99.60
3,speed limit 60,96.44
4,speed limit 70,99.55
5,speed limit 80,98.10
6,end of speed limit 80,97.33
7,speed limit 100,98.67
8,speed limit 120,94.67
9,no passing,98.33
10,no passing for vehicles over 3.5 metric tons,99.85
11,right-of-way at the next intersection,99.05
12,priority road,99.57
13,yield,99.44
14,stop,91.85
15,no vehicles,95.71
16,vehicles over 3.5 metric tons prohibited,100.00
17,no entry,94.44
18,general caution,90.26
19,dangerous curve to the left,100.00
20,dangerous curve to the right,100.00
21,double curve,90.00
22,bumpy road,85.00
23,slippery road,89.33
24,road narrows on the right,95.56
25,road work,99.17
26,traffic signals,99.44
27,pedestrians,100.00
28,children crossing,98.00
29,bicycles crossing,93.33
30,beware of ice or snow,84.67
31,wild animals crossing,96.67
32,end of all speed and passing limits,100.00
33,turn right ahead,99.05
34,turn left ahead,100.00
35,ahead only,93.59
36,go straight or right,99.17
37,go straight or left,100.00
38,keep right,96.81
39,keep left,96.67
40,roundabout mandatory,93.33
41,end of no passing,86.67
42,end of no passing by vehicles over 3.5 metric tons,91.11
