class_id,class_name,accuracy
0,speed limit 20,98.33
1,speed limit 30,74.72
2,speed limit 50,80.53
3,speed limit 60,75.56
4,speed limit 70,91.52
5,speed limit 80,55.40
6,end of speed limit 80,66.00
7,speed limit 100,75.33
8,speed limit 120,71.56
9,no passing,57.92
10,no passing for vehicles over 3.5 metric tons,67.88
11,right-of-way at the next intersection,63.10
12,priority road,80.00
13,yield,88.89
14,stop,86.67
15,no vehicles,61.43
16,vehicles over 3.5 metric tons prohibited,69.33
17,no entry,71.39
18,general caution,47.18
19,dangerous curve to the left,56.67
20,dangerous curve to the right,18.89
21,double curve,50.00
22,bumpy road,70.83
23,slippery road,21.33
24,road narrows on the right,85.56
25,road work,56.88
26,traffic signals,85.00
27,pedestrians,85.00
28,children crossing,60.00
29,bicycles crossing,74.44
30,beware of ice or snow,28.00
31,wild animals crossing,71.48
32,end of all speed and passing limits,25.00
33,turn right ahead,50.48
34,turn left ahead,85.83
35,ahead only,70.51
36,go straight or right,47.50
37,go straight or left,63.33
38,keep right,67.54
39,keep left,50.00
40,roundabout mandatory,66.67
41,end of no passing,56.67
42,end of no passing by vehicles over 3.5 metric tons,35.56
