true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,56,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,532,44,8,29,28,0,10,32,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0
2,0,29,632,12,13,51,1,0,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,5,66,96,213,2,41,2,0,12,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4,1,0,0,0,626,1,3,4,13,1,4,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,5,27,28,21,7,492,6,4,16,5,9,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
6,0,0,0,0,0,26,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29
7,0,0,1,1,11,50,8,351,13,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2
8,3,1,0,2,28,30,4,23,344,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
9,6,0,0,0,0,2,3,10,5,287,51,0,0,0,0,3,45,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10
10,16,0,0,2,1,7,10,23,60,91,325,0,0,0,0,34,45,15,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,3,0,1,3,16
11,0,0,0,0,0,0,0,0,0,0,0,271,0,2,0,0,0,0,7,2,11,2,5,9,2,20,9,13,16,0,11,40,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,5,616,13,0,3,0,0,0,0,0,0,10,0,1,0,22,0,2,7,0,0,9,0,0,0,0,0,0,2,0,0,0
13,0,0,0,0,1,0,0,0,0,0,0,1,0,669,0,0,0,0,0,0,1,0,3,1,6,0,3,0,0,19,0,0,2,0,0,0,0,1,0,11,1,0,1
