class_id,class_name,accuracy
0,speed limit 20,93.33
1,speed limit 30,73.89
2,speed limit 50,84.27
3,speed limit 60,47.33
4,speed limit 70,94.85
5,speed limit 80,78.10
6,end of speed limit 80,62.00
7,speed limit 100,78.00
8,speed limit 120,76.44
9,no passing,59.79
10,no passing for vehicles over 3.5 metric tons,49.24
11,right-of-way at the next intersection,64.52
12,priority road,89.28
13,yield,92.92
14,stop,86.67
15,no vehicles,57.14
16,vehicles over 3.5 metric tons prohibited,82.67
17,no entry,76.11
18,general caution,43.85
19,dangerous curve to the left,28.33
20,dangerous curve to the right,50.00
21,double curve,46.67
22,bumpy road,24.17
23,slippery road,20.00
24,road narrows on the right,81.11
25,road work,59.58
26,traffic signals,75.56
27,pedestrians,76.67
28,children crossing,65.33
29,bicycles crossing,54.44
30,beware of ice or snow,46.67
31,wild animals crossing,62.96
32,end of all speed and passing limits,45.00
33,turn right ahead,38.10
34,turn left ahead,84.17
35,ahead only,81.28
36,go straight or right,60.00
37,go straight or left,10.00
38,keep right,55.51
39,keep left,34.44
40,roundabout mandatory,52.22
41,end of no passing,23.33
42,end of no passing by vehicles over 3.5 metric tons,48.89
