true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,56,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,552,34,6,28,25,0,6,27,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0
2,0,30,633,11,13,48,1,0,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,7,65,85,224,1,39,2,0,14,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,1,0,0,0,628,1,2,1,15,3,3,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,9,23,28,27,6,489,3,8,13,6,8,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
6,0,0,0,0,0,26,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28
7,0,0,1,0,13,48,8,352,13,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2
8,4,1,0,2,27,22,3,17,358,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0
9,4,0,0,0,0,2,4,13,4,312,35,0,0,0,0,6,40,25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20,12
10,19,0,0,3,1,7,8,30,59,68,331,0,0,0,0,42,43,19,0,3,2,0,2,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,1,0,1,3,12
11,0,0,0,0,0,0,0,0,0,0,0,257,0,2,0,0,0,0,7,6,12,1,3,8,5,20,12,16,18,1,12,39,0,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,0,0,0,5,606,12,0,4,0,0,0,0,0,0,9,0,4,0,22,2,2,8,0,0,11,0,0,2,0,0,0,3,0,0,0
13,0,0,0,0,1,0,0,0,0,0,0,2,0,665,0,0,0,0,0,0,1,0,2,1,6,0,2,0,0,19,0,0,5,0,0,1,0,0,0,14,0,0,1
14,0,1,1,1,6,6,0,3,11,0,0,0,0,5,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
15,0,0,0,0,0,0,1,0,1,24,1,0,0,3,1,127,0,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,1,6,7,5,1,0,0,3,13,2
16,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,14,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
17,0,0,0,1,3,0,0,0,0,0,0,0,0,21,15,1,0,276,0,16,18,0,0,0,0,0,1,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,1,168,13,32,9,10,10,56,14,7,5,14,17,14,3,0,0,0,6,0,0,0,0,0,3,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,48,3,7,0,6,12,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,20,40,4,0,0,0,5,0,0,0,1,7,0,0,0,0,0,2,0,1,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,68,2,35,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,6,13,1,11,35,9,4,3,0,8,0,8,27,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,72,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,2,6,11,9,9,278,6,44,79,1,0,21,0,0,0,0,0,4,0,0,0,2,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,6,0,2,134,6,7,5,8,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,46,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,24,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,7,2,2,7,51,5,0,0,0,0,0,0,0,0,0,0,0,0
