run_name,method,shots,seed,rank,category,status,schedule,trainable_params,best_acc,final_acc,metric_rows,stages,artifact_dir,metrics_path,confusion_path,per_class_path,failures_path,log_path
clc_8shot_r8_a16_20_20_10_seed42,clc,8-shot,42,8,exploratory/clc,exploratory,20 CoOp + 20 LoRA + 10 CoOp,303104,74.7902,74.6635,10,stage3,outputs\exploratory\clc\clc_8shot_r8_a16_20_20_10_seed42,outputs\exploratory\clc\clc_8shot_r8_a16_20_20_10_seed42\clc_8shot_r8_a16_20_20_10_seed42_metrics.csv,outputs\exploratory\clc\clc_8shot_r8_a16_20_20_10_seed42\clc_8shot_r8_a16_20_20_10_seed42_confusion.csv,outputs\exploratory\clc\clc_8shot_r8_a16_20_20_10_seed42\clc_8shot_r8_a16_20_20_10_seed42_per_class.csv,outputs\exploratory\clc\clc_8shot_r8_a16_20_20_10_seed42\clc_8shot_r8_a16_20_20_10_seed42_failures.csv,logs\clc_8shot_r8_a16_20_20_10_seed42.log
clc_8shot_r8_a16_seed42,clc,8-shot,42,8,exploratory/clc,exploratory,10 CoOp + 20 LoRA + 10 CoOp,303104,73.8638,73.4996,30,stage2+stage3,outputs\exploratory\clc\clc_8shot_r8_a16_seed42,outputs\exploratory\clc\clc_8shot_r8_a16_seed42\clc_8shot_r8_a16_seed42_metrics.csv,outputs\exploratory\clc\clc_8shot_r8_a16_seed42\clc_8shot_r8_a16_seed42_confusion.csv,outputs\exploratory\clc\clc_8shot_r8_a16_seed42\clc_8shot_r8_a16_seed42_per_class.csv,outputs\exploratory\clc\clc_8shot_r8_a16_seed42\clc_8shot_r8_a16_seed42_failures.csv,logs\clc_8shot_r8_a16_seed42.log
m1_16shot,m1,16-shot,0,,main/m1,completed,20 epochs,22059,48.2264,47.9889,20,single_stage,outputs\main\m1\m1_16shot,outputs\main\m1\m1_16shot\m1_16shot_metrics.csv,outputs\main\m1\m1_16shot\m1_16shot_confusion.csv,outputs\main\m1\m1_16shot\m1_16shot_per_class.csv,outputs\main\m1\m1_16shot\m1_16shot_failures.csv,logs\m1_16shot.log
m1_full,m1,full,0,,main/m1,completed,20 epochs,22059,80.1029,80.1029,20,single_stage,outputs\main\m1\m1_full,outputs\main\m1\m1_full\m1_full_metrics.csv,outputs\main\m1\m1_full\m1_full_confusion.csv,outputs\main\m1\m1_full\m1_full_per_class.csv,outputs\main\m1\m1_full\m1_full_failures.csv,logs\m1_full.log
m2_16shot,m2,16-shot,0,,main/m2,completed,20 epochs,8192,67.3713,67.3713,20,single_stage,outputs\main\m2\m2_16shot,outputs\main\m2\m2_16shot\m2_16shot_metrics.csv,outputs\main\m2\m2_16shot\m2_16shot_confusion.csv,outputs\main\m2\m2_16shot\m2_16shot_per_class.csv,outputs\main\m2\m2_16shot\m2_16shot_failures.csv,logs\m2_16shot.log
m2_full,m2,full,0,,main/m2,completed,20 epochs,8192,82.9533,82.2328,20,single_stage,outputs\main\m2\m2_full,outputs\main\m2\m2_full\m2_full_metrics.csv,outputs\main\m2\m2_full\m2_full_confusion.csv,outputs\main\m2\m2_full\m2_full_per_class.csv,outputs\main\m2\m2_full\m2_full_failures.csv,logs\m2_full.log
m3_16shot,m3,16-shot,0,,main/m3,completed,20 epochs,131072,62.4941,62.4941,20,single_stage,outputs\main\m3\m3_16shot,outputs\main\m3\m3_16shot\m3_16shot_metrics.csv,outputs\main\m3\m3_16shot\m3_16shot_confusion.csv,outputs\main\m3\m3_16shot\m3_16shot_per_class.csv,outputs\main\m3\m3_16shot\m3_16shot_failures.csv,logs\m3_16shot.log
m3_full,m3,full,0,,main/m3,completed,10 epochs,131072,86.2787,86.2787,10,single_stage,outputs\main\m3\m3_full,outputs\main\m3\m3_full\m3_full_metrics.csv,outputs\main\m3\m3_full\m3_full_confusion.csv,outputs\main\m3\m3_full\m3_full_per_class.csv,outputs\main\m3\m3_full\m3_full_failures.csv,logs\m3_full.log
m4_16shot,m4,16-shot,0,,main/m4,completed,20 epochs,147456,79.4616,79.4616,20,single_stage,outputs\main\m4\m4_16shot,outputs\main\m4\m4_16shot\m4_16shot_metrics.csv,outputs\main\m4\m4_16shot\m4_16shot_confusion.csv,outputs\main\m4\m4_16shot\m4_16shot_per_class.csv,outputs\main\m4\m4_16shot\m4_16shot_failures.csv,logs\m4_16shot.log
m4_4shot,m4,4-shot,0,,main/m4,completed,10 epochs,147456,30.6968,30.6968,10,single_stage,outputs\main\m4\m4_4shot,outputs\main\m4\m4_4shot\m4_4shot_metrics.csv,outputs\main\m4\m4_4shot\m4_4shot_confusion.csv,outputs\main\m4\m4_4shot\m4_4shot_per_class.csv,outputs\main\m4\m4_4shot\m4_4shot_failures.csv,logs\m4_4shot.log
